web_book_id,title,price,rating,category_id,source_id
153,Doing It Over (Most Likely To #1),35.61,3,17,3
154,The Wedding Pact (The O'Malleys #2),32.61,3,17,3
155,Hold Your Breath (Search and Rescue #1),28.82,1,17,3
156,Dirty (Dive Bar #1),40.83,4,17,3
157,Take Me Home Tonight (Rock Star Romance #3),53.98,3,17,3
158,Off the Hook (Fishing for Trouble #1),47.67,3,17,3
159,A Gentleman's Position (Society of Gentlemen #3),14.75,5,17,3
160,"Sit, Stay, Love",20.9,3,17,3
161,A Girl's Guide to Moving On (New Beginnings #2),31.3,1,17,3
162,The Perfect Play (Play by Play #1),59.99,3,17,3
163,Dark Lover (Black Dagger Brotherhood #1),12.87,1,17,3
164,Changing the Game (Play by Play #2),13.38,3,17,3
165,A Walk to Remember,56.43,1,17,3
166,The Purest Hook (Second Circle Tattoos #3),12.25,1,17,3
167,The Obsession,45.43,1,17,3
168,Reservations for Two,11.1,3,17,3
169,Best of My Love (Fool's Gold #20),27.41,2,17,3
170,Where Lightning Strikes (Bleeding Stars #3),39.77,3,17,3
171,This One Moment (Pushing Limits #1),48.71,1,17,3
172,"Rhythm, Chord & Malykhin",28.34,2,17,3
173,My Perfect Mistake (Over the Top #1),38.92,2,17,3
174,Listen to Me (Fusion #1),58.99,3,17,3
175,Imperfect Harmony,34.74,4,17,3
176,Fighting Fate (Fighting #6),39.24,3,17,3
177,Deep Under (Walker Security #1),47.09,5,17,3
178,Charity's Cross (Charles Towne Belles #4),41.24,1,17,3
179,Bounty (Colorado Mountain #7),37.26,4,17,3
180,Unicorn Tracks,18.78,3,18,3
181,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,18,3
182,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,18,3
183,Masks and Shadows,56.4,2,18,3
184,Crown of Midnight (Throne of Glass #2),43.29,3,18,3
185,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,18,3
186,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,18,3
187,Throne of Glass (Throne of Glass #1),35.07,3,18,3
188,The Glittering Court (The Glittering Court #1),44.28,1,18,3
189,Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,18,3
190,The Star-Touched Queen,46.02,5,18,3
191,The Hidden Oracle (The Trials of Apollo #1),52.26,2,18,3
192,The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,18,3
193,Island of Dragons (Unwanteds #7),29.65,1,18,3
194,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,18,3
195,City of Glass (The Mortal Instruments #3),56.02,4,18,3
196,Searching for Meaning in Gailana,38.73,1,18,3
197,The Star-Touched Queen,32.3,5,18,3
198,A Shard of Ice (The Black Symphony Saga #1),56.63,3,18,3
199,King's Folly (The Kinsman Chronicles #1),39.61,5,18,3
200,Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,18,3
201,A Gathering of Shadows (Shades of Magic #2),44.81,4,18,3
202,The Raven Boys (The Raven Cycle #1),57.74,4,18,3
203,The False Prince (The Ascendance Trilogy #1),56.0,5,18,3
204,Tell the Wind and Fire,45.51,3,18,3
205,A Feast for Crows (A Song of Ice and Fire #4),17.21,4,18,3
206,The Demonists (Demonist #1),52.11,2,18,3
207,The Beast (Black Dagger Brotherhood #14),46.08,5,18,3
208,Paper and Fire (The Great Library #2),49.45,5,18,3
209,Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,18,3
210,Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,18,3
211,Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1,18,3
212,The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4,18,3
213,Soldier (Talon #3),24.72,2,18,3
214,Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,2,18,3
215,Heir to the Sky,44.07,4,18,3
216,Eragon (The Inheritance Cycle #1),43.87,3,18,3
217,Darkfever (Fever #1),56.02,1,18,3
218,Ash,22.06,4,18,3
219,A Storm of Swords (A Song of Ice and Fire #3),31.22,2,18,3
